id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
128107,Female,Loyal Customer,53,Business travel,Business,1587,1,1,1,1,4,5,5,5,5,5,5,3,5,5,2,0.0,satisfied
65580,Female,Loyal Customer,56,Business travel,Business,2843,1,1,1,1,4,4,5,4,4,4,5,5,4,4,2,0.0,satisfied
97489,Male,Loyal Customer,59,Business travel,Eco,756,3,3,3,3,4,3,4,4,2,4,2,2,1,4,0,0.0,neutral or dissatisfied
14372,Female,Loyal Customer,32,Business travel,Business,2560,1,1,1,1,5,5,5,5,3,3,3,2,1,5,0,0.0,satisfied
98348,Male,Loyal Customer,12,Business travel,Business,1563,1,1,1,1,5,5,5,5,4,3,5,5,4,5,5,2.0,satisfied
103678,Male,disloyal Customer,27,Business travel,Business,251,0,0,0,2,2,0,2,2,3,4,5,5,4,2,52,62.0,satisfied
11067,Male,Loyal Customer,52,Personal Travel,Eco,312,2,5,2,5,2,2,2,2,4,3,4,3,5,2,0,22.0,neutral or dissatisfied
28852,Female,Loyal Customer,41,Business travel,Business,3636,1,1,1,1,3,5,4,4,4,4,4,5,4,2,0,0.0,satisfied
46075,Female,Loyal Customer,39,Business travel,Eco,541,4,4,4,4,4,4,4,4,5,2,3,5,4,4,0,19.0,satisfied
50228,Male,Loyal Customer,39,Business travel,Business,89,2,2,5,2,4,2,4,4,4,4,5,2,4,1,0,0.0,satisfied
120070,Male,Loyal Customer,49,Business travel,Business,683,4,5,4,4,3,4,4,4,4,4,4,4,4,3,0,0.0,satisfied
73612,Male,Loyal Customer,37,Business travel,Business,204,3,3,3,3,3,5,4,5,5,5,4,4,5,3,0,0.0,satisfied
84031,Male,Loyal Customer,25,Personal Travel,Eco Plus,321,4,5,4,3,4,4,5,4,3,2,4,1,4,4,82,70.0,neutral or dissatisfied
2955,Female,Loyal Customer,48,Business travel,Business,1831,5,5,2,5,2,4,4,2,2,3,2,3,2,4,0,0.0,satisfied
113905,Male,disloyal Customer,20,Business travel,Eco,2295,2,2,2,3,4,2,2,4,1,1,4,1,4,4,3,0.0,neutral or dissatisfied
86372,Male,Loyal Customer,30,Business travel,Business,2271,3,3,3,3,2,2,2,2,3,4,4,4,5,2,0,0.0,satisfied
